Time (s),Pitch (deg),Velocity (m/s)
0.0000,-0.7853,-0.0680
0.0042,-1.0926,-0.0467
0.0083,-1.6137,-0.0376
0.0125,-2.1168,-0.0322
0.0167,-2.6176,-0.0326
0.0208,-3.1190,-0.0332
0.0250,-3.6309,-0.0333
0.0292,-4.2349,-0.0226
0.0333,-4.8293,-0.0235
0.0375,-5.4094,-0.0245
0.0417,-5.9735,-0.0263
0.0458,-6.5204,-0.0288
0.0500,-7.0485,-0.0301
0.0542,-7.5565,-0.0313
0.0583,-8.0490,-0.0209
0.0625,-8.5248,-0.0231
0.0667,-8.9804,-0.0251
0.0708,-9.4145,-0.0269
0.0750,-9.8259,-0.0284
0.0792,-10.2139,-0.0297
0.0833,-10.5780,-0.0307
0.0875,-10.9233,-0.0254
0.0917,-11.2499,-0.0281
0.0958,-11.5552,-0.0305
0.1000,-11.8387,-0.0327
0.1042,-12.1005,-0.0351
0.1083,-12.3412,-0.0369
0.1125,-12.5621,-0.0386
0.1167,-12.7643,-0.0402
0.1208,-12.9492,-0.0418
0.1250,-13.1180,-0.0434
0.1292,-13.2721,-0.0450
0.1333,-13.4127,-0.0466
0.1375,-13.5411,-0.0483
0.1417,-13.6584,-0.0501
0.1458,-13.7655,-0.0519
0.1500,-13.8635,-0.0537
0.1542,-13.9532,-0.0556
0.1583,-14.0352,-0.0576
0.1625,-14.1103,-0.0597
0.1667,-14.1791,-0.0618
0.1708,-14.2421,-0.0640
0.1750,-14.2997,-0.0662
0.1792,-14.3525,-0.0686
0.1833,-14.4009,-0.0709
0.1875,-14.4450,-0.0734
0.1917,-14.4854,-0.0760
0.1958,-14.5222,-0.0786
0.2000,-14.5557,-0.0812
0.2042,-14.5862,-0.0840
0.2083,-14.6137,-0.0868
0.2125,-14.6386,-0.0897
0.2167,-14.6610,-0.0927
0.2208,-14.6809,-0.0957
0.2250,-14.6985,-0.0988
0.2292,-14.7139,-0.1020
0.2333,-14.7271,-0.1053
0.2375,-14.7382,-0.1086
0.2417,-14.7471,-0.1120
0.2458,-14.7538,-0.1155
0.2500,-14.7582,-0.1191
0.2542,-14.7602,-0.1227
0.2583,-14.7593,-0.1264
0.2625,-14.7552,-0.1302
0.2667,-14.7474,-0.1340
0.2708,-14.7349,-0.1378
0.2750,-14.7165,-0.1416
0.2792,-14.6906,-0.1454
0.2833,-14.6547,-0.1492
0.2875,-14.6060,-0.1529
0.2917,-14.5425,-0.1565
0.2958,-14.4655,-0.1605
0.3000,-14.3808,-0.1652
0.3042,-14.2947,-0.1584
0.3083,-14.2421,-0.1657
0.3125,-14.1886,-0.1691
0.3167,-14.1311,-0.1723
0.3208,-14.0694,-0.1756
0.3250,-14.0045,-0.1792
0.3292,-13.9376,-0.1830
0.3333,-13.8696,-0.1870
0.3375,-13.8009,-0.1912
0.3417,-13.7319,-0.1958
0.3458,-13.6624,-0.2003
0.3500,-13.5932,-0.2049
0.3542,-13.5245,-0.2097
0.3583,-13.4564,-0.2146
0.3625,-13.3898,-0.2071
0.3667,-13.3462,-0.2128
0.3708,-13.2987,-0.2157
0.3750,-13.2510,-0.2190
0.3792,-13.2030,-0.2225
0.3833,-13.1548,-0.2264
0.3875,-13.1060,-0.2301
0.3917,-13.0573,-0.2340
0.3958,-13.0086,-0.2380
0.4000,-12.9600,-0.2422
0.4042,-12.9114,-0.2465
0.4083,-12.8627,-0.2509
0.4125,-12.8139,-0.2555
0.4167,-12.7658,-0.2472
0.4208,-12.7376,-0.2523
0.4250,-12.7073,-0.2552
0.4292,-12.6760,-0.2583
0.4333,-12.6437,-0.2616
0.4375,-12.6103,-0.2652
0.4417,-12.5756,-0.2688
0.4458,-12.5401,-0.2725
0.4500,-12.5038,-0.2763
0.4542,-12.4666,-0.2804
0.4583,-12.4285,-0.2846
0.4625,-12.3895,-0.2889
0.4667,-12.3502,-0.2798
0.4708,-12.3306,-0.2847
0.4750,-12.3102,-0.2876
0.4792,-12.2880,-0.2906
0.4833,-12.2638,-0.2939
0.4875,-12.2372,-0.2973
0.4917,-12.2087,-0.3007
0.4958,-12.1785,-0.3043
0.5000,-12.1468,-0.3081
0.5042,-12.1136,-0.3121
0.5083,-12.0790,-0.3163
0.5125,-12.0429,-0.3207
0.5167,-12.0059,-0.3105
0.5208,-11.9896,-0.3156
0.5250,-11.9734,-0.3188
0.5292,-11.9549,-0.3218
0.5333,-11.9337,-0.3251
0.5375,-11.9099,-0.3285
0.5417,-11.8836,-0.3321
0.5458,-11.8551,-0.3359
0.5500,-11.8244,-0.3399
0.5542,-11.7919,-0.3441
0.5583,-11.7582,-0.3340
0.5625,-11.7436,-0.3389
0.5667,-11.7299,-0.3420
0.5708,-11.7140,-0.3450
0.5750,-11.6950,-0.3481
0.5792,-11.6732,-0.3515
0.5833,-11.6486,-0.3550
0.5875,-11.6213,-0.3591
0.5917,-11.5913,-0.3631
0.5958,-11.5591,-0.3672
0.6000,-11.5259,-0.3558
0.6042,-11.5128,-0.3609
0.6083,-11.5013,-0.3641
0.6125,-11.4877,-0.3672
0.6167,-11.4709,-0.3703
0.6208,-11.4509,-0.3737
0.6250,-11.4279,-0.3773
0.6292,-11.4018,-0.3815
0.6333,-11.3729,-0.3854
0.6375,-11.3420,-0.3897
0.6417,-11.3096,-0.3775
0.6458,-11.2972,-0.3827
0.6500,-11.2871,-0.3861
0.6542,-11.2750,-0.3894
0.6583,-11.2596,-0.3927
0.6625,-11.2408,-0.3962
0.6667,-11.2188,-0.3999
0.6708,-11.1940,-0.4039
0.6750,-11.1669,-0.4081
0.6792,-11.1377,-0.3962
0.6833,-11.1266,-0.4012
0.6875,-11.1179,-0.4047
0.6917,-11.1073,-0.4080
0.6958,-11.0933,-0.4114
0.7000,-11.0758,-0.4149
0.7042,-11.0550,-0.4187
0.7083,-11.0314,-0.4227
0.7125,-11.0058,-0.4108
0.7167,-10.9970,-0.4155
0.7208,-10.9908,-0.4189
0.7250,-10.9827,-0.4220
0.7292,-10.9711,-0.4252
0.7333,-10.9558,-0.4286
0.7375,-10.9369,-0.4326
0.7417,-10.9143,-0.4366
0.7458,-10.8887,-0.4407
0.7500,-10.8611,-0.4274
0.7542,-10.8517,-0.4324
0.7583,-10.8456,-0.4360
0.7625,-10.8380,-0.4393
0.7667,-10.8272,-0.4427
0.7708,-10.8126,-0.4463
0.7750,-10.7946,-0.4501
0.7792,-10.7735,-0.4541
0.7833,-10.7498,-0.4413
0.7875,-10.7422,-0.4461
0.7917,-10.7377,-0.4497
0.7958,-10.7316,-0.4530
0.8000,-10.7220,-0.4564
0.8042,-10.7087,-0.4600
0.8083,-10.6916,-0.4637
0.8125,-10.6713,-0.4679
0.8167,-10.6482,-0.4547
0.8208,-10.6410,-0.4595
0.8250,-10.6370,-0.4631
0.8292,-10.6317,-0.4665
0.8333,-10.6229,-0.4699
0.8375,-10.6103,-0.4735
0.8417,-10.5939,-0.4775
0.8458,-10.5737,-0.4820
0.8500,-10.5500,-0.4676
0.8542,-10.5427,-0.4725
0.8583,-10.5393,-0.4763
0.8625,-10.5346,-0.4798
0.8667,-10.5267,-0.4833
0.8708,-10.5149,-0.4870
0.8750,-10.4992,-0.4909
0.8792,-10.4806,-0.4775
0.8833,-10.4764,-0.4822
0.8875,-10.4754,-0.4858
0.8917,-10.4728,-0.4892
0.8958,-10.4664,-0.4932
0.9000,-10.4548,-0.4967
0.9042,-10.4387,-0.5004
0.9083,-10.4189,-0.5045
0.9125,-10.3962,-0.4895
0.9167,-10.3898,-0.4945
0.9208,-10.3875,-0.4984
0.9250,-10.3843,-0.5020
0.9292,-10.3778,-0.5056
0.9333,-10.3673,-0.5093
0.9375,-10.3528,-0.5133
0.9417,-10.3347,-0.4993
0.9458,-10.3309,-0.5040
0.9500,-10.3303,-0.5078
0.9542,-10.3284,-0.5113
0.9583,-10.3228,-0.5148
0.9625,-10.3127,-0.5190
0.9667,-10.2976,-0.5231
0.9708,-10.2786,-0.5077
0.9750,-10.2746,-0.5126
0.9792,-10.2744,-0.5169
0.9833,-10.2723,-0.5207
0.9875,-10.2659,-0.5241
0.9917,-10.2550,-0.5277
0.9958,-10.2397,-0.5315
1.0000,-10.2212,-0.5161
1.0042,-10.2178,-0.5219
1.0083,-10.2174,-0.5256
1.0125,-10.2154,-0.5290
1.0167,-10.2097,-0.5325
1.0208,-10.1996,-0.5361
1.0250,-10.1852,-0.5400
1.0292,-10.1674,-0.5243
1.0333,-10.1647,-0.5292
1.0375,-10.1658,-0.5340
1.0417,-10.1648,-0.5374
1.0458,-10.1597,-0.5409
1.0500,-10.1500,-0.5445
1.0542,-10.1356,-0.5485
1.0583,-10.1177,-0.5326
1.0625,-10.1148,-0.5375
1.0667,-10.1159,-0.5419
1.0708,-10.1154,-0.5460
1.0750,-10.1105,-0.5495
1.0792,-10.1008,-0.5532
1.0833,-10.0863,-0.5571
1.0875,-10.0678,-0.5409
1.0917,-10.0644,-0.5460
1.0958,-10.0651,-0.5500
1.1000,-10.0650,-0.5538
1.1042,-10.0614,-0.5575
1.1083,-10.0530,-0.5620
1.1125,-10.0391,-0.5662
1.1167,-10.0201,-0.5497
1.1208,-10.0157,-0.5548
1.1250,-10.0155,-0.5590
1.1292,-10.0144,-0.5628
1.1333,-10.0100,-0.5667
1.1375,-10.0012,-0.5707
1.1417,-9.9882,-0.5556
1.1458,-9.9881,-0.5604
1.1500,-9.9912,-0.5646
1.1542,-9.9923,-0.5690
1.1583,-9.9882,-0.5726
1.1625,-9.9786,-0.5763
1.1667,-9.9639,-0.5803
1.1708,-9.9445,-0.5635
1.1750,-9.9399,-0.5687
1.1792,-9.9397,-0.5729
1.1833,-9.9388,-0.5768
1.1875,-9.9344,-0.5807
1.1917,-9.9256,-0.5847
1.1958,-9.9124,-0.5693
1.2000,-9.9121,-0.5742
1.2042,-9.9148,-0.5792
1.2083,-9.9148,-0.5829
1.2125,-9.9100,-0.5866
1.2167,-9.9000,-0.5904
1.2208,-9.8849,-0.5945
1.2250,-9.8649,-0.5773
1.2292,-9.8598,-0.5827
1.2333,-9.8592,-0.5870
1.2375,-9.8580,-0.5910
1.2417,-9.8535,-0.5951
