Time (s),Pitch (deg),Velocity (m/s)
0.0000,-0.1542,-0.0130
0.0042,-0.3312,-0.0039
0.0083,-0.5018,-0.0007
0.0125,-0.6706,0.0023
0.0167,-0.8366,0.0054
0.0208,-0.9999,0.0085
0.0250,-1.1605,0.0116
0.0292,-1.3185,0.0148
0.0333,-1.4739,0.0180
0.0375,-1.6266,0.0213
0.0417,-1.7775,0.0237
0.0458,-1.9268,0.0250
0.0500,-2.0740,0.0263
0.0542,-2.2191,0.0277
0.0583,-2.3621,0.0291
0.0625,-2.5029,0.0306
0.0667,-2.6417,0.0321
0.0708,-2.7783,0.0337
0.0750,-2.9128,0.0353
0.0792,-3.0451,0.0369
0.0833,-3.1752,0.0386
0.0875,-3.3032,0.0403
0.0917,-3.4289,0.0421
0.0958,-3.5525,0.0439
0.1000,-3.6739,0.0458
0.1042,-3.7930,0.0477
0.1083,-3.9100,0.0497
0.1125,-4.0247,0.0517
0.1167,-4.1373,0.0538
0.1208,-4.2477,0.0559
0.1250,-4.3575,0.0558
0.1292,-4.4650,0.0559
0.1333,-4.5704,0.0561
0.1375,-4.6738,0.0563
0.1417,-4.7749,0.0566
0.1458,-4.8739,0.0570
0.1500,-4.9707,0.0573
0.1542,-5.0652,0.0578
0.1583,-5.1573,0.0583
0.1625,-5.2472,0.0588
0.1667,-5.3347,0.0594
0.1708,-5.4199,0.0600
0.1750,-5.5028,0.0607
0.1792,-5.5833,0.0614
0.1833,-5.6615,0.0622
0.1875,-5.7374,0.0631
0.1917,-5.8111,0.0639
0.1958,-5.8826,0.0648
0.2000,-5.9518,0.0658
0.2042,-6.0190,0.0668
0.2083,-6.0841,0.0679
0.2125,-6.1473,0.0690
0.2167,-6.2085,0.0701
0.2208,-6.2679,0.0713
0.2250,-6.3277,0.0696
0.2292,-6.3829,0.0689
0.2333,-6.4355,0.0682
0.2375,-6.4851,0.0675
0.2417,-6.5320,0.0669
0.2458,-6.5760,0.0663
0.2500,-6.6173,0.0658
0.2542,-6.6560,0.0653
0.2583,-6.6921,0.0648
0.2625,-6.7257,0.0643
0.2667,-6.7570,0.0639
0.2708,-6.7860,0.0636
0.2750,-6.8130,0.0632
0.2792,-6.8379,0.0629
0.2833,-6.8610,0.0626
0.2875,-6.8823,0.0624
0.2917,-6.9021,0.0622
0.2958,-6.9203,0.0620
0.3000,-6.9371,0.0618
0.3042,-6.9526,0.0617
0.3083,-6.9670,0.0616
0.3125,-6.9803,0.0615
0.3167,-6.9927,0.0615
0.3208,-7.0042,0.0615
0.3250,-7.0149,0.0615
0.3292,-7.0250,0.0616
0.3333,-7.0344,0.0617
0.3375,-7.0433,0.0618
0.3417,-7.0518,0.0619
0.3458,-7.0599,0.0621
0.3500,-7.0677,0.0623
0.3542,-7.0752,0.0626
0.3583,-7.0825,0.0629
0.3625,-7.0897,0.0632
0.3667,-7.0968,0.0635
0.3708,-7.1039,0.0639
0.3750,-7.1110,0.0643
0.3792,-7.1181,0.0648
0.3833,-7.1254,0.0653
0.3875,-7.1327,0.0658
0.3917,-7.1403,0.0663
0.3958,-7.1480,0.0669
0.4000,-7.1559,0.0676
